id,schema_version,country_code,source_id,complete,coverage_percentage,denominator,denominator_id,excluded,exclusion_reasons,layer,license,matched,missing,missing_reason,notes,snapshot_date,snapshot_id,unmatched
COV-SA-POPULATED-PLACES-20260815,2.0.0,SA,SRC-SA-CULTURAL-FIXTURE-2026,False,,,DEN-SA-POPULATED-PLACES-20260815,0,[],populated_places,Source copyright; factual extraction with attribution,4,,"No dated, atomic, current official national populated-place registry was accepted; four bounded context anchors do not form a completeness denominator.",No coverage percentage is asserted.,2026-08-15,SNP-SA-ADMIN-20260815,0
COV-SA-REGIONS-20260815,2.0.0,SA,SRC-SA-SAUDIPEDIA-ADMIN-2026,True,100.0,13,DEN-SA-REGIONS-20260815,0,[],sa_region,Source copyright; factual extraction with attribution,13,0,,A 100% value applies only to this exact denominator definition.,2026-08-15,SNP-SA-ADMIN-20260815,0
COV-SA-WORLD-HERITAGE-20260815,2.0.0,SA,SRC-UNESCO-WHC-SA-STATE-2026,True,100.0,8,DEN-SA-WORLD-HERITAGE-20260815,0,[],unesco_world_heritage_properties,Source copyright; factual extraction with attribution,8,0,,A 100% value applies only to this exact denominator definition.,2026-08-15,SNP-SA-ADMIN-20260815,0
COV-SD-COUNTRY-SCOPE,2.0.0,SD,SRC-ISO-3166-1-2020,True,100.0,1,DEN-SD-COUNTRY-SCOPE,0,[],country_scope,ISO copyright; reuse is subject to ISO terms of use,1,0,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,SNP-MIGRATION-2026-08-15,0
COV-SO-COUNTRY-SCOPE,2.0.0,SO,SRC-ISO-3166-1-2020,True,100.0,1,DEN-SO-COUNTRY-SCOPE,0,[],country_scope,ISO copyright; reuse is subject to ISO terms of use,1,0,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,SNP-MIGRATION-2026-08-15,0
COV-SY-COUNTRY-SCOPE,2.0.0,SY,SRC-ISO-3166-1-2020,True,100.0,1,DEN-SY-COUNTRY-SCOPE,0,[],country_scope,ISO copyright; reuse is subject to ISO terms of use,1,0,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,SNP-MIGRATION-2026-08-15,0
COV-TN-CITIES,2.0.0,TN,SRC-TN-ONTT-PLACES-2018,False,,,DEN-TN-CITIES,0,[],cities,Copyright ONTT; factual extraction only,2,,No dated official national city denominator was found; two sourced cities are a bounded pilot and no completion is claimed.,Bounded pilot count; not a national coverage percentage.,2026-08-15,SNP-MIGRATION-2026-08-15,0
COV-TN-COUNTRY-SCOPE,2.0.0,TN,SRC-ISO-3166-1-2020,True,100.0,1,DEN-TN-COUNTRY-SCOPE,0,[],country_scope,ISO copyright; reuse is subject to ISO terms of use,1,0,,Completion means matched + excluded equals this dated denominator only.,2026-08-15,SNP-MIGRATION-2026-08-15,0
COV-TN-DELEGATIONS,2.0.0,TN,SRC-TN-HDX-CODAB-2022,True,100.0,264,DEN-TN-DELEGATIONS,0,[],delegations,Creative Commons Attribution 3.0 IGO,264,0,,Completion means matched + excluded equals this dated denominator only.,2022-11-15,SNP-TN-CODAB-2022-11-15,0
COV-TN-GOVERNORATES,2.0.0,TN,SRC-TN-HDX-CODAB-2022,True,100.0,24,DEN-TN-GOVERNORATES,0,[],governorates,Creative Commons Attribution 3.0 IGO,24,0,,Completion means matched + excluded equals this dated denominator only.,2022-11-15,SNP-TN-CODAB-2022-11-15,0
COV-TN-IMADAS,2.0.0,TN,SRC-TN-HDX-CODAB-2022,True,100.0,2084,DEN-TN-IMADAS,0,[],imadas,Creative Commons Attribution 3.0 IGO,2084,0,,Completion means matched + excluded equals this dated denominator only.,2022-11-15,SNP-TN-CODAB-2022-11-15,0
COV-TN-MUNICIPALITIES-2024,2.0.0,TN,SRC-TN-DGCL-MUNICIPALITIES-2024,True,100.0,350,DEN-TN-MUNICIPALITIES-2024,0,[],municipalities,Resource-specific license not stated; factual register transcription only,350,0,,Completion means matched + excluded equals this dated denominator only.,2024-01-01,SNP-TN-MUNICIPALITIES-2024-01,0
COV-TN-POPULATED-PLACES,2.0.0,TN,SRC-TN-ONTT-PLACES-2018,False,,,DEN-TN-POPULATED-PLACES,0,[],populated_places,Copyright ONTT; factual extraction only,6,,No dated official national populated-place denominator was found; six sourced populated or historical places form a bounded pilot only.,Bounded pilot count; not a national coverage percentage.,2026-08-15,SNP-MIGRATION-2026-08-15,0
COV-TN-WORLD-HERITAGE-2026,2.0.0,TN,SRC-UNESCO-WHC-TN-2026,True,100.0,10,DEN-TN-WORLD-HERITAGE-2026,0,[],world_heritage_properties,CC BY-SA 3.0 IGO for property descriptions,10,0,,Completion means matched + excluded equals this dated denominator only.,2026-08-15,SNP-TN-UNESCO-WHC-2026-08-15,0
COV-YE-COUNTRY-SCOPE,2.0.0,YE,SRC-ISO-3166-1-2020,True,100.0,1,DEN-YE-COUNTRY-SCOPE,0,[],country_scope,ISO copyright; reuse is subject to ISO terms of use,1,0,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,SNP-MIGRATION-2026-08-15,0
